City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
220,Kununurra,AU,2021-11-25 21:09:45,-15.7667,128.7333,80.58,89,40,0.0
221,Ursulo Galvan,MX,2021-11-25 21:09:46,22.7333,-98.3,85.19,62,93,6.33
222,Prince Rupert,CA,2021-11-25 21:09:46,54.3161,-130.3201,50.09,76,90,12.66
223,Nelson Bay,AU,2021-11-25 21:09:46,-32.7167,152.15,66.09,96,100,3.0
224,Pisco,PE,2021-11-25 21:03:34,-13.7,-76.2167,69.85,73,0,16.11
225,Kati,ML,2021-11-25 21:07:19,12.7441,-8.0726,81.81,23,55,2.17
226,Los Llanos De Aridane,ES,2021-11-25 21:10:47,28.6585,-17.9182,64.15,95,75,9.22
227,Farah,AF,2021-11-25 21:10:47,32.5,62.5,50.41,38,15,2.24
228,Raga,SS,2021-11-25 21:10:48,8.4596,25.678,74.8,23,5,4.65
229,Faanui,PF,2021-11-25 21:10:48,-16.4833,-151.75,82.35,72,7,18.77
230,Matadi,CD,2021-11-25 21:10:49,-5.8167,13.45,75.87,94,100,2.21
231,Saint-Francois,FR,2021-11-25 21:10:49,46.4154,3.9054,35.04,91,90,9.22
232,Iguape,BR,2021-11-25 21:10:49,-24.7081,-47.5553,73.49,84,67,11.01
233,Chokurdakh,RU,2021-11-25 21:03:29,70.6333,147.9167,-30.68,100,27,4.59
234,Nyrob,RU,2021-11-25 21:10:50,60.733,56.7202,10.04,96,98,5.21
235,Bethel,US,2021-11-25 21:10:50,41.3712,-73.414,55.04,51,20,3.44
236,Bafra,TR,2021-11-25 21:10:51,41.5678,35.9069,47.82,80,5,6.8
237,Bella Union,UY,2021-11-25 21:10:51,-30.2752,-57.6007,85.59,38,53,20.11
238,Sorland,NO,2021-11-25 21:10:51,67.667,12.6934,21.27,44,100,9.31
239,Shellbrook,CA,2021-11-25 21:10:52,53.2168,-106.4011,20.66,93,100,7.31
240,Lubao,PH,2021-11-25 21:10:52,14.9167,120.55,79.14,88,100,5.08
241,Potsdam,DE,2021-11-25 21:10:53,52.3989,13.0657,42.22,90,96,1.99
242,Saiha,IN,2021-11-25 21:10:53,22.4833,92.9667,57.85,76,3,3.56
243,Trofors,NO,2021-11-25 21:10:53,65.5333,13.4063,25.95,95,100,3.76
244,Hasaki,JP,2021-11-25 21:10:54,35.7333,140.8333,39.6,56,0,6.11
245,Uwajima,JP,2021-11-25 21:10:54,33.2238,132.56,54.79,72,11,12.01
246,Cairns,AU,2021-11-25 21:10:54,-16.9167,145.7667,79.07,90,40,3.44
247,Chitral,PK,2021-11-25 21:10:55,35.8462,71.7858,43.23,44,0,7.99
248,Torbay,CA,2021-11-25 21:02:18,47.6666,-52.7314,51.28,99,90,17.27
249,Castro,BR,2021-11-25 21:02:21,-24.7911,-50.0119,75.31,57,84,4.94
250,Rosarito,MX,2021-11-25 21:10:06,32.3333,-117.0333,79.39,21,0,16.58
251,Ushtobe,KZ,2021-11-25 21:10:56,45.2514,77.9838,46.13,89,100,19.17
252,Tessalit,ML,2021-11-25 21:10:56,20.1986,1.0114,76.95,31,21,5.48
253,Walvis Bay,NA,2021-11-25 21:10:57,-22.9575,14.5053,60.1,91,0,2.01
254,Morondava,MG,2021-11-25 21:02:26,-20.2833,44.2833,76.66,58,32,17.02
255,Vostok,RU,2021-11-25 21:10:57,46.4856,135.8833,6.8,97,99,4.74
256,Borgarnes,IS,2021-11-25 21:10:57,64.5383,-21.9206,34.36,65,58,11.61
257,Sabang,ID,2021-11-25 21:10:58,5.8933,95.3214,79.18,79,100,4.56
258,Havre-Saint-Pierre,CA,2021-11-25 21:10:59,50.2334,-63.5986,42.66,94,100,7.16
259,Wilmington Island,US,2021-11-25 21:07:04,32.0036,-80.9737,68.99,57,1,8.05
260,Belaya Gora,RU,2021-11-25 21:09:55,68.5333,146.4167,-35.93,100,48,1.97
261,Araouane,ML,2021-11-25 21:10:59,18.9048,-3.5265,80.02,27,10,7.78
262,Launceston,AU,2021-11-25 21:01:01,-41.45,147.1667,53.62,67,40,7.0
263,Strezhevoy,RU,2021-11-25 21:11:00,60.7333,77.5889,1.38,100,94,5.21
264,Blagoyevo,RU,2021-11-25 21:11:00,63.3667,47.9167,10.49,95,100,4.03
265,Tual,ID,2021-11-25 21:11:01,-5.6667,132.75,82.78,77,100,4.94
266,Hovd,MN,2021-11-25 21:11:01,48.0056,91.6419,31.3,36,100,11.01
267,Scottsbluff,US,2021-11-25 21:11:02,41.8666,-103.6672,57.63,21,1,11.01
268,Villanueva De La Serena,ES,2021-11-25 21:11:02,38.9766,-5.7974,44.83,68,100,3.67
269,Lumphat,KH,2021-11-25 21:12:03,13.4878,106.9816,67.95,91,100,4.03
270,Alofi,NU,2021-11-25 21:12:03,-19.0595,-169.9187,82.29,83,75,5.75
271,Kaduna,NG,2021-11-25 21:09:00,10.5222,7.4383,74.77,22,19,7.25
272,Coquimbo,CL,2021-11-25 21:12:03,-29.9533,-71.3436,62.33,77,75,12.66
273,Mount Isa,AU,2021-11-25 21:12:04,-20.7333,139.5,67.77,68,40,4.61
274,Meulaboh,ID,2021-11-25 21:12:04,4.1363,96.1285,77.05,87,100,4.25
275,Palana,RU,2021-11-25 21:12:05,59.1167,159.9667,15.44,78,99,21.94
276,Rabo De Peixe,PT,2021-11-25 21:12:05,37.8,-25.5833,59.27,95,20,17.27
277,Verkhnyaya Inta,RU,2021-11-25 21:12:05,65.9811,60.3094,6.55,96,100,9.01
278,Kasama,ZM,2021-11-25 21:12:06,-10.2129,31.1808,63.23,92,99,3.36
279,Hofn,IS,2021-11-25 21:12:06,64.2539,-15.2082,30.65,61,0,30.27
280,Onufriyivka,UA,2021-11-25 21:12:07,48.9072,33.4487,30.67,72,2,10.2
281,Honningsvag,NO,2021-11-25 21:12:07,70.9821,25.9704,22.75,80,40,5.75
282,Fairbanks,US,2021-11-25 21:11:08,64.8378,-147.7164,-7.02,75,75,0.0
283,Codrington,AU,2021-11-25 21:12:08,-38.2667,141.9667,53.44,70,49,23.8
284,Kahului,US,2021-11-25 21:03:39,20.8947,-156.47,85.26,69,40,18.41
285,Mezen,RU,2021-11-25 21:12:08,65.8522,44.24,13.46,97,100,4.47
286,Pedro Escobedo,MX,2021-11-25 21:12:09,20.5,-100.1333,75.22,29,40,3.44
287,Mar Del Plata,AR,2021-11-25 21:12:09,-38.0023,-57.5575,64.87,83,100,4.0
288,Adrar,MR,2021-11-25 21:12:09,20.5022,-10.0711,78.8,28,91,5.14
289,Iqaluit,CA,2021-11-25 21:08:33,63.7506,-68.5145,23.29,71,93,12.33
290,Ucluelet,CA,2021-11-25 21:08:34,48.9329,-125.5528,52.09,94,100,3.2
291,Kilis,TR,2021-11-25 21:12:10,36.7161,37.115,50.23,85,100,3.31
292,Kerman,IR,2021-11-25 21:12:10,30.2832,57.0788,55.44,32,0,1.1
293,Bassano,CA,2021-11-25 21:12:11,50.7834,-112.4685,51.64,52,94,19.84
